date,T2M,RH2M,WS10M,PRECTOTCORR
2023-01-01,12.9,49.9,1.7,0.0
2023-01-02,12.26,51.83,1.67,0.0
2023-01-03,9.98,54.61,2.95,0.0
2023-01-04,8.57,58.24,2.65,0.0
2023-01-05,8.75,59.63,2.5,0.0
2023-01-06,8.74,54.41,2.4,0.0
2023-01-07,9.69,48.08,3.25,0.0
2023-01-08,12.35,44.61,3.12,0.0
2023-01-09,13.14,47.41,2.57,0.0
2023-01-10,12.82,53.16,3.23,0.0
2023-01-11,13.51,64.57,2.62,0.07
2023-01-12,13.82,73.58,3.02,9.38
2023-01-13,16.43,73.27,2.64,0.09
2023-01-14,12.35,56.25,3.75,0.02
2023-01-15,7.77,39.37,3.75,0.0
2023-01-16,8.92,42.56,3.42,0.0
2023-01-17,8.98,42.16,3.63,0.0
2023-01-18,9.25,37.57,2.66,0.0
2023-01-19,11.7,44.03,1.69,0.0
2023-01-20,13.01,55.44,2.12,0.05
2023-01-21,14.18,59.32,1.5,0.0
2023-01-22,15.17,52.26,1.79,0.0
2023-01-23,16.07,52.71,2.2,0.35
2023-01-24,15.89,80.09,3.74,4.43
2023-01-25,16.17,80.75,2.17,0.11
2023-01-26,14.78,61.48,3.53,0.06
2023-01-27,11.84,49.23,3.89,0.0
2023-01-28,13.1,40.56,3.19,0.0
2023-01-29,14.95,45.38,2.94,0.0
2023-01-30,13.12,71.39,2.73,12.34
2023-01-31,14.2,75.93,4.3,0.0
2023-02-01,13.03,60.64,4.57,0.0
2023-02-02,14.1,51.38,4.46,0.0
2023-02-03,15.01,49.12,3.77,0.0
2023-02-04,16.33,47.67,4.33,0.0
2023-02-05,17.03,54.52,3.6,0.0
2023-02-06,18.89,43.21,2.41,0.0
2023-02-07,17.33,48.27,4.11,0.0
2023-02-08,15.54,41.86,3.86,0.0
2023-02-09,17.4,37.91,3.01,0.0
2023-02-10,18.28,48.72,2.95,0.0
2023-02-11,18.34,48.9,3.28,0.0
2023-02-12,15.02,35.73,4.66,0.0
2023-02-13,14.46,30.08,6.62,0.0
2023-02-14,16.48,31.98,4.58,0.0
2023-02-15,18.5,39.76,4.54,0.0
2023-02-16,19.38,45.6,1.93,0.0
2023-02-17,21.16,44.72,1.64,0.0
2023-02-18,21.1,40.2,2.11,0.0
2023-02-19,22.42,30.93,1.33,0.0
2023-02-20,22.51,35.46,2.44,0.0
2023-02-21,20.51,38.61,2.65,0.0
2023-02-22,20.45,39.34,3.17,0.03
2023-02-23,19.66,34.42,4.07,0.0
2023-02-24,19.93,34.05,3.31,0.0
2023-02-25,21.51,35.53,2.35,0.0
2023-02-26,23.46,31.11,1.55,0.0
2023-02-27,23.2,36.6,2.19,0.0
2023-02-28,22.43,39.87,2.22,0.0
2023-03-01,22.61,39.55,2.27,0.0
2023-03-02,23.1,41.26,3.16,0.0
2023-03-03,23.72,43.25,3.95,0.0
2023-03-04,22.69,41.03,3.6,0.0
2023-03-05,22.69,40.7,3.63,0.0
2023-03-06,22.67,37.77,3.63,0.0
2023-03-07,23.2,33.66,2.41,0.0
2023-03-08,24.22,32.63,1.38,0.02
2023-03-09,23.56,41.47,1.08,2.46
2023-03-10,23.32,38.86,2.36,0.0
2023-03-11,24.21,30.56,1.91,0.0
2023-03-12,25.53,31.8,1.65,0.0
2023-03-13,24.72,36.35,1.94,0.0
2023-03-14,25.13,37.5,2.76,0.0
2023-03-15,26.49,31.49,1.35,0.0
2023-03-16,25.37,35.87,3.68,0.0
2023-03-17,24.25,46.96,2.97,0.22
2023-03-18,21.62,61.9,2.19,6.03
2023-03-19,23.36,53.65,1.78,1.49
2023-03-20,20.68,68.31,1.52,19.76
2023-03-21,20.28,72.56,1.94,12.13
2023-03-22,21.96,55.12,2.24,0.03
2023-03-23,23.38,48.37,3.04,0.03
2023-03-24,24.32,52.51,2.73,7.29
2023-03-25,23.57,57.77,2.62,1.45
2023-03-26,24.1,46.74,3.63,0.0
2023-03-27,22.77,43.64,3.87,0.0
2023-03-28,23.61,40.02,3.49,0.0
2023-03-29,26.11,36.38,1.64,0.0
2023-03-30,25.95,46.76,2.37,6.05
2023-03-31,21.15,76.48,1.82,11.53
2023-04-01,22.84,61.31,2.25,3.83
2023-04-02,24.2,51.41,2.79,0.0
2023-04-03,26.08,47.68,1.96,4.62
2023-04-04,24.87,50.88,3.36,0.01
2023-04-05,24.94,42.52,3.6,0.0
2023-04-06,25.28,34.95,4.51,0.0
2023-04-07,25.12,32.25,4.73,0.0
2023-04-08,24.95,28.27,3.68,0.0
2023-04-09,26.06,28.85,3.13,0.0
2023-04-10,26.28,29.81,3.61,0.0
2023-04-11,27.73,31.24,4.25,0.0
2023-04-12,29.67,33.94,4.3,0.0
2023-04-13,29.32,32.07,3.67,0.0
2023-04-14,30.25,28.77,2.72,0.0
2023-04-15,31.56,25.2,2.06,0.0
2023-04-16,32.03,28.85,2.47,0.0
2023-04-17,32.95,25.81,2.48,0.0
2023-04-18,32.3,30.89,3.12,0.0
2023-04-19,30.95,37.44,3.09,0.04
2023-04-20,30.07,41.33,2.84,0.59
2023-04-21,28.83,38.65,2.23,1.42
2023-04-22,28.12,32.02,2.72,0.25
2023-04-23,25.39,35.22,3.97,0.02
2023-04-24,26.77,37.8,2.85,0.01
2023-04-25,27.75,32.79,2.25,0.0
2023-04-26,29.53,31.43,1.26,0.0
2023-04-27,28.14,35.13,3.51,0.31
2023-04-28,28.32,38.21,1.99,0.26
2023-04-29,27.53,43.24,3.11,1.41
2023-04-30,25.92,57.83,1.67,5.75
2023-05-01,22.81,74.94,4.21,16.65
2023-05-02,23.67,72.98,3.01,5.03
2023-05-03,25.5,61.79,1.85,7.91
2023-05-04,27.78,50.06,1.13,4.45
2023-05-05,27.85,42.94,2.42,0.0
2023-05-06,29.67,40.17,3.73,0.0
2023-05-07,31.39,34.03,2.41,0.0
2023-05-08,31.34,28.25,2.53,1.02
2023-05-09,28.92,26.05,4.32,0.24
2023-05-10,28.78,25.28,4.29,0.0
2023-05-11,30.73,22.89,2.11,0.0
2023-05-12,31.0,22.11,2.25,0.0
2023-05-13,33.0,23.93,2.04,0.0
2023-05-14,34.06,23.48,2.58,0.0
2023-05-15,33.55,26.34,4.08,0.01
2023-05-16,33.41,27.27,5.07,0.01
2023-05-17,34.15,30.84,3.73,0.0
2023-05-18,31.87,40.45,4.61,4.57
2023-05-19,31.81,33.65,5.43,0.0
2023-05-20,32.92,28.84,4.32,0.0
2023-05-21,35.13,23.75,2.45,0.0
2023-05-22,35.86,26.36,5.68,0.0
2023-05-23,36.99,27.02,4.71,0.22
2023-05-24,34.53,35.4,2.55,0.92
2023-05-25,32.83,40.34,2.3,5.23
2023-05-26,29.28,56.46,2.77,14.38
2023-05-27,30.39,49.56,2.96,2.29
2023-05-28,29.96,46.21,2.27,0.72
2023-05-29,30.75,47.53,2.36,0.52
2023-05-30,30.95,46.19,2.71,1.83
2023-05-31,28.78,52.24,3.82,3.11
2023-06-01,29.85,45.75,3.42,0.01
2023-06-02,30.62,43.61,4.06,0.01
2023-06-03,31.11,38.11,3.96,0.12
2023-06-04,28.31,44.91,2.46,0.51
2023-06-05,32.41,38.38,3.54,0.11
2023-06-06,33.34,35.91,2.64,0.01
2023-06-07,33.67,33.3,3.09,0.0
2023-06-08,34.33,33.32,4.42,0.0
2023-06-09,35.76,32.22,4.03,0.13
2023-06-10,36.9,34.46,4.15,0.44
2023-06-11,36.48,35.48,4.96,0.0
2023-06-12,36.84,34.05,5.21,0.0
2023-06-13,38.15,32.25,6.76,0.0
2023-06-14,37.41,32.56,7.55,0.0
2023-06-15,35.85,37.49,6.55,0.02
2023-06-16,35.69,40.38,3.73,0.9
2023-06-17,35.92,38.57,3.23,0.88
2023-06-18,34.84,43.29,2.7,1.07
2023-06-19,34.09,49.0,4.55,2.07
2023-06-20,33.85,53.21,3.14,7.96
2023-06-21,33.7,52.31,2.01,1.37
2023-06-22,34.97,53.23,2.15,3.62
2023-06-23,35.7,51.88,2.03,1.24
2023-06-24,33.25,61.75,2.78,14.64
2023-06-25,30.18,75.39,1.9,13.27
2023-06-26,31.51,64.3,2.49,6.32
2023-06-27,31.99,58.87,2.36,4.99
2023-06-28,32.08,62.15,3.27,10.35
2023-06-29,31.34,65.67,3.69,11.14
2023-06-30,30.53,71.64,3.0,11.1
2023-07-01,30.63,67.02,2.71,3.63
2023-07-02,32.32,60.67,2.58,0.02
2023-07-03,33.95,51.79,2.29,0.07
2023-07-04,34.74,52.13,2.37,0.73
2023-07-05,32.83,61.69,3.08,9.82
2023-07-06,29.63,77.8,3.26,14.23
2023-07-07,30.36,74.44,2.9,10.4
2023-07-08,29.26,83.53,4.0,25.13
2023-07-09,29.71,83.7,3.48,48.55
2023-07-10,30.42,80.0,2.51,17.74
2023-07-11,30.64,77.05,1.38,13.64
2023-07-12,30.4,79.2,1.39,19.17
2023-07-13,29.91,79.74,2.62,5.79
2023-07-14,29.44,81.43,1.03,4.87
2023-07-15,29.23,81.91,1.9,4.79
2023-07-16,30.7,73.97,0.93,3.91
2023-07-17,31.66,72.45,1.18,3.23
2023-07-18,29.79,83.76,2.94,18.48
2023-07-19,29.57,80.5,3.23,3.67
2023-07-20,31.64,74.25,1.9,0.0
2023-07-21,31.28,77.04,2.34,1.39
2023-07-22,30.22,79.53,4.36,4.41
2023-07-23,30.04,79.24,3.97,0.1
2023-07-24,30.43,76.87,3.43,0.96
2023-07-25,30.3,81.69,2.04,13.29
2023-07-26,30.28,79.43,1.66,28.38
2023-07-27,29.08,86.57,1.43,16.52
2023-07-28,28.54,84.17,1.29,18.2
2023-07-29,29.03,85.31,1.33,4.29
2023-07-30,29.48,85.38,1.76,0.62
2023-07-31,30.09,80.36,2.53,0.35
2023-08-01,30.44,79.04,3.19,0.11
2023-08-02,30.3,81.74,2.62,0.82
2023-08-03,30.04,82.98,2.18,4.19
2023-08-04,29.47,86.9,1.85,44.34
2023-08-05,29.14,87.47,3.04,20.5
2023-08-06,29.54,82.55,3.97,9.81
2023-08-07,29.09,83.21,4.87,1.62
2023-08-08,29.18,83.34,4.78,0.13
2023-08-09,29.4,82.24,3.66,2.0
2023-08-10,29.41,80.94,2.74,2.07
2023-08-11,29.61,79.76,2.54,0.73
2023-08-12,29.26,77.8,3.92,0.0
2023-08-13,29.14,79.32,3.99,0.07
2023-08-14,27.32,84.72,2.93,0.09
2023-08-15,29.0,79.44,1.18,1.63
2023-08-16,29.69,78.71,2.73,1.68
2023-08-17,30.09,78.77,3.37,0.27
2023-08-18,30.16,79.09,2.47,0.87
2023-08-19,29.79,83.55,2.19,12.32
2023-08-20,30.75,76.48,2.22,0.32
2023-08-21,30.84,74.77,1.5,1.21
2023-08-22,29.98,83.99,2.21,14.31
2023-08-23,28.24,88.99,3.34,44.32
2023-08-24,28.21,82.74,3.21,0.83
2023-08-25,28.5,79.39,3.67,0.1
2023-08-26,28.9,76.79,3.76,0.0
2023-08-27,28.74,75.44,3.89,0.27
2023-08-28,29.43,75.67,3.17,0.13
2023-08-29,29.29,75.3,2.89,0.0
2023-08-30,29.1,76.36,2.72,0.01
2023-08-31,29.34,74.95,2.17,0.0
2023-09-01,29.48,70.49,2.92,0.0
2023-09-02,28.86,69.4,3.45,0.0
2023-09-03,28.73,67.26,2.84,0.0
2023-09-04,29.01,68.92,3.11,0.0
2023-09-05,29.8,73.61,2.18,1.03
2023-09-06,30.11,69.81,2.22,0.12
2023-09-07,30.38,66.06,2.14,0.4
2023-09-08,29.12,72.01,2.33,6.64
2023-09-09,27.89,83.45,3.65,17.32
2023-09-10,27.04,90.71,3.68,72.53
2023-09-11,27.48,85.42,2.96,0.91
2023-09-12,28.31,82.44,2.09,0.05
2023-09-13,29.06,82.63,1.35,0.01
2023-09-14,29.45,83.88,1.99,7.07
2023-09-15,28.93,84.72,2.45,1.69
2023-09-16,26.82,87.34,4.65,13.32
