date,T2M,RH2M,WS10M,PRECTOTCORR
2025-01-01,12.22,45.72,3.66,0.0
2025-01-02,13.24,47.31,3.77,0.0
2025-01-03,14.55,51.3,2.65,0.0
2025-01-04,15.22,51.49,2.24,0.0
2025-01-05,14.42,56.55,2.83,0.0
2025-01-06,14.03,61.57,2.11,0.05
2025-01-07,12.53,58.99,4.2,0.1
2025-01-08,11.72,41.82,4.13,0.0
2025-01-09,13.72,34.59,1.74,0.0
2025-01-10,13.74,32.88,1.24,0.0
2025-01-11,12.18,49.01,2.72,1.8
2025-01-12,12.42,74.62,2.34,0.13
2025-01-13,13.3,69.46,3.62,0.0
2025-01-14,13.24,48.98,2.48,0.0
2025-01-15,13.74,46.41,2.17,0.19
2025-01-16,13.22,78.08,1.52,1.79
2025-01-17,12.46,65.43,3.31,0.04
2025-01-18,13.15,44.93,2.13,0.0
2025-01-19,16.1,46.35,2.42,0.0
2025-01-20,15.84,46.96,3.97,0.0
2025-01-21,15.73,45.82,3.86,0.0
2025-01-22,16.37,50.48,2.4,0.01
2025-01-23,16.68,46.63,3.13,0.11
2025-01-24,14.34,44.5,4.3,0.0
2025-01-25,13.83,35.54,4.35,0.0
2025-01-26,13.03,32.29,3.39,0.0
2025-01-27,12.61,33.66,3.66,0.0
2025-01-28,14.52,30.52,2.62,0.0
2025-01-29,15.14,34.13,2.88,0.0
2025-01-30,15.7,38.91,2.56,0.0
2025-01-31,16.72,41.71,2.15,0.0
2025-02-01,17.76,39.68,2.17,0.0
2025-02-02,16.86,48.01,2.89,0.0
2025-02-03,17.31,42.49,2.76,0.0
2025-02-04,18.36,44.6,2.19,0.18
2025-02-05,15.06,44.38,4.1,0.0
2025-02-06,14.44,35.93,4.72,0.0
2025-02-07,14.4,37.24,4.92,0.0
2025-02-08,15.54,33.55,3.92,0.0
2025-02-09,17.53,30.48,2.49,0.0
2025-02-10,19.01,30.7,2.34,0.0
2025-02-11,19.49,33.14,2.41,0.0
2025-02-12,18.17,38.97,4.4,0.0
2025-02-13,16.98,30.39,5.55,0.0
2025-02-14,17.23,30.19,4.86,0.0
2025-02-15,18.74,34.76,3.0,0.0
2025-02-16,18.73,42.91,2.23,0.0
2025-02-17,20.86,35.99,1.95,0.0
2025-02-18,20.42,36.46,2.75,0.0
2025-02-19,20.55,34.88,2.18,0.37
2025-02-20,20.54,52.68,3.91,1.38
2025-02-21,19.68,51.58,2.64,0.02
2025-02-22,17.79,48.25,3.88,0.0
2025-02-23,18.57,44.16,2.76,0.0
2025-02-24,19.0,42.58,2.76,0.0
2025-02-25,20.52,40.05,2.1,0.0
2025-02-26,21.59,37.94,1.46,0.03
2025-02-27,20.7,52.51,2.6,0.4
2025-02-28,19.3,68.65,3.83,6.18
2025-03-01,20.62,63.49,3.34,3.13
2025-03-02,20.6,45.89,3.75,0.0
2025-03-03,20.77,33.78,2.3,0.0
2025-03-04,20.32,39.08,4.66,0.0
2025-03-05,17.4,29.95,7.11,0.0
2025-03-06,18.08,27.46,4.89,0.0
2025-03-07,19.71,29.36,3.2,0.0
2025-03-08,21.37,30.1,3.34,0.0
2025-03-09,23.17,28.32,2.58,0.0
2025-03-10,23.86,28.97,3.26,0.0
2025-03-11,24.95,31.41,2.39,0.0
2025-03-12,25.54,37.05,3.45,0.0
2025-03-13,27.48,38.0,1.92,0.22
2025-03-14,27.97,35.16,1.9,1.55
2025-03-15,26.17,34.74,3.17,0.06
2025-03-16,24.39,36.11,3.56,0.14
2025-03-17,23.08,37.59,3.25,0.0
2025-03-18,23.01,32.91,3.18,0.0
2025-03-19,24.59,26.63,3.08,0.0
2025-03-20,25.13,25.87,3.04,0.0
2025-03-21,24.86,26.81,4.07,0.0
2025-03-22,24.69,22.56,2.87,0.0
2025-03-23,25.11,20.84,1.91,0.2
2025-03-24,26.4,17.23,2.29,0.0
2025-03-25,27.38,19.38,2.6,0.0
2025-03-26,30.47,19.44,1.53,0.0
2025-03-27,29.66,19.25,3.16,0.0
2025-03-28,26.13,11.72,5.0,0.0
2025-03-29,22.34,10.3,4.79,0.0
2025-03-30,24.53,11.33,4.4,0.0
2025-03-31,25.55,12.65,3.78,0.0
2025-04-01,25.98,16.39,3.59,0.0
2025-04-02,28.07,13.08,2.13,0.0
2025-04-03,29.69,11.41,1.34,0.0
2025-04-04,29.37,14.3,2.72,0.0
2025-04-05,28.32,19.24,3.48,0.0
2025-04-06,30.31,16.07,2.81,0.0
2025-04-07,31.6,16.86,2.94,0.0
2025-04-08,31.5,16.94,4.13,0.0
2025-04-09,32.23,22.7,2.92,0.0
2025-04-10,32.64,26.03,2.18,0.17
2025-04-11,31.09,33.81,4.77,1.92
2025-04-12,29.21,37.59,2.49,1.1
2025-04-13,30.67,28.17,2.04,0.0
2025-04-14,30.47,25.88,3.17,0.0
2025-04-15,30.98,29.1,3.33,0.0
2025-04-16,32.04,27.42,3.09,0.0
2025-04-17,33.11,25.1,2.98,0.12
2025-04-18,33.37,25.63,3.23,0.0
2025-04-19,33.11,29.96,6.23,0.66
2025-04-20,33.06,27.35,4.44,0.0
2025-04-21,33.41,15.3,2.79,0.0
2025-04-22,31.49,8.6,3.62,0.0
2025-04-23,31.97,11.75,3.86,0.0
2025-04-24,33.22,6.93,2.26,0.0
2025-04-25,33.22,8.1,2.76,0.0
2025-04-26,34.22,9.49,2.34,0.0
2025-04-27,33.14,12.17,2.11,0.0
2025-04-28,32.68,15.72,4.17,0.0
2025-04-29,30.9,23.65,4.43,0.0
2025-04-30,31.55,30.42,4.44,0.0
2025-05-01,31.98,33.83,4.89,0.01
2025-05-02,28.81,51.26,3.29,12.9
2025-05-03,28.57,52.19,2.91,6.96
2025-05-04,29.66,47.06,4.92,6.74
2025-05-05,29.2,51.07,3.68,4.61
2025-05-06,29.33,41.23,3.27,0.44
2025-05-07,31.04,42.05,3.17,0.04
2025-05-08,31.12,43.49,3.43,0.08
2025-05-09,31.33,42.01,2.57,0.78
2025-05-10,32.01,44.7,2.11,1.11
2025-05-11,33.3,41.14,1.82,0.0
2025-05-12,34.0,32.25,2.86,0.0
2025-05-13,34.08,37.81,4.19,0.8
2025-05-14,33.9,37.71,2.56,1.55
2025-05-15,35.04,27.46,2.49,0.0
2025-05-16,36.41,25.4,3.55,0.31
2025-05-17,35.78,26.85,3.8,0.11
2025-05-18,35.87,27.74,3.26,0.02
2025-05-19,35.48,23.43,3.22,0.0
2025-05-20,36.28,25.06,3.46,0.0
2025-05-21,36.9,24.03,4.0,0.0
2025-05-22,31.36,44.63,4.44,13.11
2025-05-23,32.68,38.75,4.24,0.0
2025-05-24,33.54,37.73,5.15,2.07
2025-05-25,30.6,54.34,3.5,20.03
2025-05-26,31.97,48.46,3.23,0.23
2025-05-27,32.94,41.29,2.26,0.0
2025-05-28,33.92,45.99,2.22,0.53
2025-05-29,34.71,42.33,1.95,0.0
2025-05-30,34.38,42.26,1.48,0.38
2025-05-31,34.29,33.24,2.05,0.18
2025-06-01,32.98,40.29,4.74,4.8
2025-06-02,31.39,46.42,1.86,1.33
2025-06-03,30.76,39.17,1.73,0.0
2025-06-04,30.8,39.34,1.97,0.26
2025-06-05,32.28,38.34,1.44,0.01
2025-06-06,33.28,34.1,1.81,0.0
2025-06-07,34.66,31.95,2.06,0.0
2025-06-08,36.93,29.6,2.57,0.0
2025-06-09,37.85,24.42,2.58,0.0
2025-06-10,37.75,21.43,3.34,0.0
2025-06-11,37.93,22.58,2.41,0.0
2025-06-12,37.77,27.84,2.69,0.0
2025-06-13,37.99,33.0,3.57,1.24
2025-06-14,36.81,34.83,2.38,4.19
2025-06-15,35.63,38.54,3.59,0.2
2025-06-16,33.25,53.61,3.45,9.31
2025-06-17,32.52,58.95,2.69,1.16
2025-06-18,29.89,74.29,2.5,18.82
2025-06-19,32.24,60.04,3.76,0.16
2025-06-20,33.21,58.38,3.65,0.74
2025-06-21,34.39,51.18,3.35,0.11
2025-06-22,34.88,49.49,1.82,0.31
2025-06-23,34.15,53.1,2.74,3.28
2025-06-24,34.02,51.05,2.0,1.04
2025-06-25,34.03,51.69,4.18,0.61
2025-06-26,34.08,53.01,4.88,0.43
2025-06-27,34.7,49.95,4.41,0.37
2025-06-28,33.5,54.03,3.17,9.25
2025-06-29,32.06,64.5,2.59,15.13
2025-06-30,27.98,87.23,3.32,43.59
2025-07-01,30.61,65.92,2.98,2.1
2025-07-02,31.8,64.87,3.26,2.66
2025-07-03,32.16,64.38,3.83,0.31
2025-07-04,31.73,68.34,2.97,3.54
2025-07-05,32.46,64.19,2.43,0.24
2025-07-06,31.16,70.86,2.41,15.02
2025-07-07,32.05,67.35,1.73,0.83
2025-07-08,31.84,69.82,1.97,12.04
2025-07-09,30.84,71.74,2.47,7.32
2025-07-10,28.07,84.64,3.23,21.92
2025-07-11,30.23,71.62,1.69,1.85
2025-07-12,31.18,68.06,1.96,3.31
2025-07-13,29.16,76.68,2.32,11.04
2025-07-14,28.8,81.26,5.55,5.73
2025-07-15,29.0,81.5,7.27,2.63
2025-07-16,28.18,78.12,4.17,8.45
2025-07-17,28.82,78.18,3.35,5.63
2025-07-18,28.83,76.98,6.47,3.55
2025-07-19,29.38,76.54,5.43,0.36
2025-07-20,31.04,70.69,3.36,0.2
2025-07-21,30.02,72.1,2.59,0.53
2025-07-22,29.39,79.71,1.96,1.53
2025-07-23,29.87,82.6,2.37,19.98
2025-07-24,31.09,74.16,2.58,1.25
2025-07-25,31.91,71.93,2.28,4.02
2025-07-26,32.27,69.54,1.59,0.49
2025-07-27,31.35,69.97,3.07,0.0
2025-07-28,29.46,77.1,1.28,2.38
2025-07-29,28.56,85.44,1.9,11.6
2025-07-30,29.34,84.33,3.39,14.31
2025-07-31,29.14,85.09,2.28,20.39
2025-08-01,29.74,81.49,1.67,4.72
2025-08-02,29.59,81.07,2.9,4.01
2025-08-03,29.19,82.74,3.07,31.73
2025-08-04,29.26,83.93,3.76,40.62
2025-08-05,28.34,88.16,3.33,32.74
2025-08-06,28.43,82.44,2.29,5.69
2025-08-07,29.14,78.66,3.27,0.51
2025-08-08,29.74,77.12,2.93,8.36
2025-08-09,28.42,83.7,1.96,9.64
2025-08-10,29.06,81.88,1.79,10.32
2025-08-11,29.49,82.53,2.55,12.83
2025-08-12,29.18,83.34,2.55,1.47
2025-08-13,29.01,83.08,2.36,4.58
2025-08-14,27.34,89.8,2.62,24.4
2025-08-15,27.92,83.6,1.43,1.62
2025-08-16,28.38,83.95,2.23,3.19
2025-08-17,29.06,84.89,2.39,3.8
2025-08-18,28.01,90.4,3.18,3.45
2025-08-19,28.77,83.85,2.67,1.7
2025-08-20,28.55,84.55,3.66,0.11
2025-08-21,28.94,84.6,3.07,6.28
2025-08-22,29.52,81.54,1.48,0.16
2025-08-23,28.47,86.76,2.06,7.24
2025-08-24,28.29,86.64,3.36,2.01
2025-08-25,27.19,92.24,4.41,14.84
2025-08-26,27.86,87.58,3.99,1.06
2025-08-27,28.73,85.08,2.02,5.43
2025-08-28,28.75,84.1,2.23,3.61
2025-08-29,27.16,90.71,3.6,35.83
2025-08-30,27.84,89.03,3.21,20.58
2025-08-31,27.23,92.43,3.0,47.12
2025-09-01,26.64,91.2,4.08,22.21
2025-09-02,26.68,90.94,4.99,34.28
2025-09-03,26.81,90.66,2.85,18.0
2025-09-04,27.73,85.18,1.98,42.69
2025-09-05,26.75,89.64,4.71,8.89
2025-09-06,27.6,88.02,3.78,0.49
2025-09-07,27.51,88.05,3.07,0.74
2025-09-08,27.41,85.93,2.18,4.12
2025-09-09,27.96,84.64,2.86,2.14
2025-09-10,27.33,85.49,4.49,0.0
2025-09-11,26.78,83.76,3.94,0.0
2025-09-12,27.69,81.75,2.77,0.06
2025-09-13,28.34,76.07,1.57,2.22
2025-09-14,28.41,78.05,2.2,0.16
2025-09-15,28.05,82.12,2.88,0.04
2025-09-16,28.57,77.49,1.56,1.15
2025-09-17,28.53,80.07,1.71,21.17
2025-09-18,28.0,83.26,1.45,1.54
2025-09-19,28.25,81.67,2.23,1.07
2025-09-20,27.57,79.8,2.94,0.0
2025-09-21,26.7,79.21,3.13,0.0
2025-09-22,25.97,77.63,3.14,0.0
2025-09-23,25.83,76.49,3.34,0.0
2025-09-24,26.04,73.43,3.3,0.0
2025-09-25,26.02,74.8,3.01,0.0
2025-09-26,26.34,77.33,3.16,0.0
2025-09-27,28.45,79.25,1.43,0.0
2025-09-28,28.25,82.42,3.11,0.0
2025-09-29,27.92,82.78,2.44,0.66
2025-09-30,26.35,88.32,1.96,7.98
2025-10-01,26.77,79.51,1.22,0.03
2025-10-02,26.28,81.31,2.05,2.38
2025-10-03,26.46,83.0,1.8,0.03
2025-10-04,26.97,76.61,2.31,0.0
2025-10-05,26.79,67.73,1.94,0.28
2025-10-06,24.99,81.68,1.96,13.65
2025-10-07,23.76,87.72,3.03,14.87
2025-10-08,22.14,81.68,2.2,0.84
2025-10-09,21.88,78.45,2.78,0.0
2025-10-10,22.21,67.44,1.83,0.0
2025-10-11,22.94,61.73,1.39,0.0
2025-10-12,23.53,69.84,2.07,0.0
2025-10-13,23.99,56.77,1.25,0.0
2025-10-14,23.6,55.44,1.4,0.0
2025-10-15,23.55,55.3,1.37,0.0
2025-10-16,23.23,55.43,1.68,0.0
2025-10-17,23.72,62.22,1.28,0.0
2025-10-18,23.69,66.53,1.57,0.0
2025-10-19,23.81,65.52,1.84,0.0
2025-10-20,24.01,65.73,2.0,0.0
2025-10-21,24.04,72.68,1.58,0.0
2025-10-22,24.85,66.67,1.52,0.0
2025-10-23,24.09,55.94,1.8,0.0
2025-10-24,23.5,53.52,1.56,0.0
2025-10-25,22.83,52.32,1.51,0.0
2025-10-26,23.09,49.0,1.37,0.0
2025-10-27,22.51,58.09,1.61,0.14
2025-10-28,20.95,75.55,1.7,0.21
2025-10-29,22.92,70.8,1.24,0.01
2025-10-30,23.02,78.93,1.43,1.39
2025-10-31,23.62,76.05,2.53,0.01
2025-11-01,23.21,64.18,2.51,0.0
2025-11-02,21.88,60.14,3.23,0.0
2025-11-03,21.41,53.53,3.19,0.0
2025-11-04,20.47,56.64,1.84,0.0
2025-11-05,21.47,53.4,2.25,0.0
2025-11-06,18.53,59.42,3.74,0.0
2025-11-07,17.23,52.47,3.6,0.0
2025-11-08,16.34,50.6,3.01,0.0
2025-11-09,16.75,52.45,3.05,0.0
2025-11-10,18.08,47.78,2.17,0.0
2025-11-11,17.64,47.28,2.78,0.0
2025-11-12,16.97,53.47,3.52,0.0
2025-11-13,16.77,51.62,2.76,0.0
2025-11-14,16.94,48.65,2.52,0.0
2025-11-15,17.13,46.68,2.71,0.0
2025-11-16,16.31,47.41,3.14,0.0
2025-11-17,16.85,45.66,2.42,0.0
2025-11-18,17.94,44.29,2.04,0.0
2025-11-19,18.32,50.34,1.72,0.0
2025-11-20,17.37,64.17,2.41,0.0
2025-11-21,17.59,63.95,2.27,0.0
2025-11-22,18.52,55.67,1.82,0.0
